"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"750",749,190,2,185,1,121,14,0,0,4,4,5,15,7,878,1,14,5,8,8,0,1,187,"2"
"751",750,551,1,250,1,44,8,0,0,4,4,5,4,7,721,0,14,13,5,10,0,1,404,"1"
"753",752,123,2,269,1,84,14,0,0,4,1,5,9,6,330,0,14,224,8,10,0,1,293,"1"
"754",753,401,1,223,2,103,8,0,0,4,4,5,15,7,362,1,0,69,15,6,0,1,572,"2"
"757",756,420,1,316,1,93,8,0,0,4,1,5,9,7,305,1,14,182,8,7,0,1,414,"2"
"761",760,48,2,241,1,127,14,0,0,1,4,5,4,7,842,2,14,19,18,7,0,1,261,"1"
"763",762,619,1,236,2,66,8,2,2,4,3,5,15,7,407,2,17,153,8,5,0,1,390,"2"
"768",767,362,1,341,2,123,8,0,0,1,1,5,4,7,420,2,14,19,8,7,0,1,433,"2"
"770",769,210,2,567,1,100,14,0,0,1,1,5,14,9,112,0,14,55,8,7,0,1,240,"2"
"780",779,416,1,580,1,50,14,0,4,4,4,5,9,7,8,5,0,170,18,7,0,1,329,"2"
"781",780,371,1,576,1,16,8,0,0,4,4,5,15,7,726,1,0,111,8,7,0,1,537,"1"
"783",782,231,3,326,1,28,16,2,4,4,3,5,15,7,107,2,14,43,8,5,0,1,7,"2"
"784",783,558,1,283,2,85,8,2,4,4,1,5,9,7,171,5,14,152,8,7,0,1,573,"1"
"785",784,367,1,286,0,109,14,1,0,4,4,5,4,7,332,1,14,25,5,7,0,1,372,"1"
"786",785,513,1,288,1,38,8,0,0,1,1,5,9,7,633,1,14,90,18,8,0,1,457,"1"
"788",787,620,1,267,1,93,8,0,0,4,4,5,9,7,157,2,0,207,18,7,0,1,541,"2"
"793",792,567,1,449,1,18,2,0,0,3,1,5,14,7,602,0,14,79,8,7,0,1,12,"1"
"796",795,238,0,429,1,38,8,0,0,4,4,5,15,7,875,1,14,102,0,6,0,1,556,"1"
"797",796,340,0,300,2,103,8,0,0,4,1,5,15,7,761,1,14,169,8,7,0,1,605,"1"
"804",803,149,2,317,2,46,14,0,0,4,3,5,15,6,83,2,14,207,0,5,0,1,235,"1"
"807",806,444,1,436,1,121,14,0,0,4,1,5,15,7,848,1,16,207,15,8,0,1,141,"1"
"810",809,81,2,309,1,121,14,0,0,4,1,5,15,7,288,2,14,236,8,5,0,1,139,"1"
"817",816,22,2,348,1,30,14,2,4,4,4,5,9,7,649,1,14,11,18,6,0,1,127,"1"
"818",817,172,2,466,1,50,14,0,0,4,1,5,9,7,563,1,14,13,8,7,0,1,314,"1"
"820",819,458,1,482,1,38,8,0,0,4,4,5,15,7,629,1,14,126,0,7,0,1,607,"2"
"823",822,125,2,476,1,100,14,0,0,4,2,5,9,7,380,0,14,182,18,7,0,1,95,"2"
"827",826,378,1,582,1,100,14,0,0,4,4,5,9,7,17,1,14,101,8,7,0,1,109,"1"
"832",831,405,1,493,0,33,8,1,0,4,4,5,15,7,89,1,14,0,8,7,0,1,364,"1"
"835",834,613,1,239,0,78,8,0,0,1,4,5,4,6,373,1,14,207,5,9,0,1,418,"1"
"839",838,209,2,517,1,24,14,0,0,4,4,5,15,7,35,1,14,182,8,6,0,1,229,"1"
"844",843,150,2,619,1,121,14,0,0,4,1,5,15,6,596,1,14,105,0,2,0,1,228,"1"
"845",844,497,1,91,1,38,8,0,0,4,4,5,4,7,533,4,10,36,8,8,0,1,417,"1"
"846",845,410,1,189,1,100,14,2,4,1,4,5,9,7,657,2,14,25,18,7,0,1,90,"1"
"849",848,214,2,112,1,121,14,0,0,4,1,5,9,7,256,2,14,25,15,6,0,1,151,"1"
"850",849,410,1,189,1,100,14,2,4,1,4,5,9,7,782,2,14,127,18,7,0,1,90,"1"
"853",852,500,1,125,1,119,16,0,0,4,3,5,15,7,807,1,14,20,8,7,0,1,45,"1"
"855",854,381,1,122,1,18,4,0,0,4,1,5,15,7,693,0,15,201,8,7,0,1,48,"1"
"856",855,380,1,146,1,18,10,0,0,1,4,5,15,7,595,2,14,55,8,7,0,1,68,"1"
"861",860,151,2,74,1,121,14,0,0,4,1,5,9,7,314,3,14,61,8,7,0,1,202,"1"
"868",867,470,1,243,1,34,14,2,4,1,4,5,4,6,540,1,14,110,8,8,0,1,246,"1"
"869",868,576,1,14,1,38,14,0,0,1,4,5,4,7,181,1,14,113,5,8,0,1,379,"1"
"872",871,547,1,202,1,18,10,0,0,4,4,5,15,7,895,1,14,235,16,8,0,1,63,"1"
"874",873,334,0,6,1,38,8,0,0,4,1,5,15,7,161,1,14,182,8,6,0,1,546,"1"
"879",878,153,2,424,1,121,14,0,0,4,1,5,9,7,409,1,14,25,15,8,0,1,178,"1"
"883",882,469,1,21,2,134,14,0,0,4,4,5,9,7,321,2,14,206,15,8,0,1,124,"1"
"885",884,58,2,278,2,98,14,0,0,4,3,5,15,6,41,1,14,51,0,5,0,1,137,"1"
"886",885,341,0,271,2,103,8,0,0,1,3,5,9,7,723,5,14,51,18,5,0,1,551,"1"
"893",892,553,1,294,0,78,8,0,0,4,3,5,4,6,811,1,14,169,5,6,0,1,396,"1"
"894",893,540,1,285,1,76,8,0,0,4,4,5,9,7,103,5,14,81,15,7,0,1,587,"1"
"898",897,360,0,349,2,3,8,0,0,4,1,5,15,7,228,1,14,134,8,5,0,1,465,"1"
"899",898,350,0,220,0,78,8,0,0,1,4,5,15,6,234,1,14,199,8,8,0,1,431,"1"
"901",900,342,0,263,1,104,8,3,4,4,4,5,15,7,559,1,14,25,0,6,0,1,436,"1"
